#Channel_number,Time,Counts
697,11.682297551789077,5.0
698,11.699058380414312,7.0
699,11.715819209039546,5.0
700,11.732580037664782,2.0
701,11.749340866290018,5.0
702,11.766101694915253,4.0
703,11.782862523540489,6.0
704,11.799623352165725,8.0
705,11.81638418079096,5.0
706,11.833145009416194,4.0
707,11.84990583804143,6.0
708,11.866666666666665,6.0
709,11.883427495291901,9.0
710,11.900188323917137,6.0
711,11.916949152542372,6.0
712,11.933709981167608,9.0
713,11.950470809792844,6.0
714,11.967231638418077,6.0
715,11.983992467043313,7.0
716,12.000753295668549,10.0
717,12.017514124293784,6.0
718,12.03427495291902,11.0
719,12.051035781544256,12.0
720,12.067796610169491,7.0
721,12.084557438794725,5.0
722,12.10131826741996,9.0
723,12.118079096045197,12.0
724,12.134839924670432,10.0
725,12.151600753295668,3.0
726,12.168361581920903,6.0
727,12.185122410546139,5.0
728,12.201883239171373,6.0
729,12.218644067796609,3.0
730,12.235404896421844,6.0
731,12.25216572504708,9.0
732,12.268926553672316,4.0
733,12.285687382297551,4.0
734,12.302448210922787,2.0
735,12.319209039548022,5.0
736,12.335969868173256,5.0
737,12.352730696798492,6.0
738,12.369491525423728,5.0
739,12.386252354048963,6.0
740,12.403013182674199,9.0
741,12.419774011299435,6.0
742,12.43653483992467,7.0
743,12.453295668549904,7.0
744,12.47005649717514,4.0
745,12.486817325800375,6.0
746,12.503578154425611,10.0
747,12.520338983050847,5.0
748,12.537099811676082,8.0
749,12.553860640301318,4.0
750,12.570621468926552,5.0
751,12.587382297551788,1.0
752,12.604143126177023,3.0
753,12.620903954802259,8.0
754,12.637664783427494,5.0
755,12.65442561205273,2.0
756,12.671186440677966,4.0
757,12.687947269303201,9.0
758,12.704708097928435,7.0
759,12.721468926553671,10.0
760,12.738229755178907,6.0
761,12.754990583804142,7.0
762,12.771751412429378,4.0
763,12.788512241054613,3.0
764,12.80527306967985,4.0
765,12.822033898305083,4.0
766,12.838794726930319,6.0
767,12.855555555555554,5.0
768,12.87231638418079,1.0
769,12.889077212806026,7.0
770,12.905838041431261,13.0
771,12.922598870056497,3.0
772,12.93935969868173,8.0
773,12.956120527306966,6.0
774,12.972881355932202,7.0
775,12.989642184557438,3.0
776,13.006403013182673,3.0
777,13.023163841807909,5.0
778,13.039924670433145,9.0
779,13.056685499058378,6.0
780,13.073446327683614,6.0
781,13.09020715630885,9.0
782,13.106967984934085,12.0
783,13.123728813559321,11.0
784,13.140489642184557,5.0
785,13.157250470809792,12.0
786,13.174011299435028,5.0
787,13.190772128060262,5.0
788,13.207532956685498,3.0
789,13.224293785310733,9.0
790,13.241054613935969,5.0
791,13.257815442561204,6.0
792,13.27457627118644,6.0
793,13.291337099811676,9.0
794,13.30809792843691,6.0
795,13.324858757062145,9.0
796,13.341619585687381,5.0
797,13.358380414312617,6.0
798,13.375141242937852,2.0
799,13.391902071563088,7.0
800,13.408662900188324,5.0
801,13.425423728813557,2.0
802,13.442184557438793,4.0
803,13.458945386064029,7.0
804,13.475706214689264,2.0
805,13.4924670433145,6.0
806,13.509227871939736,4.0
807,13.525988700564971,11.0
808,13.542749529190207,4.0
809,13.55951035781544,3.0
810,13.576271186440676,5.0
811,13.593032015065912,9.0
812,13.609792843691148,4.0
813,13.626553672316383,4.0
814,13.643314500941619,5.0
815,13.660075329566855,5.0
816,13.676836158192089,8.0
817,13.693596986817324,5.0
818,13.71035781544256,7.0
819,13.727118644067795,7.0
820,13.743879472693031,4.0
821,13.760640301318267,2.0
822,13.777401129943502,3.0
823,13.794161958568736,5.0
824,13.810922787193972,8.0
825,13.827683615819208,5.0
826,13.844444444444443,6.0
827,13.861205273069679,7.0
828,13.877966101694915,5.0
829,13.89472693032015,8.0
830,13.911487758945386,10.0
831,13.92824858757062,8.0
832,13.945009416195855,5.0
833,13.961770244821091,5.0
834,13.978531073446327,4.0
835,13.995291902071562,5.0
836,14.012052730696798,8.0
837,14.028813559322034,8.0
838,14.045574387947267,11.0
839,14.062335216572503,5.0
840,14.079096045197739,4.0
841,14.095856873822974,5.0
842,14.11261770244821,6.0
843,14.129378531073446,9.0
844,14.146139359698681,6.0
845,14.162900188323915,9.0
846,14.17966101694915,4.0
847,14.196421845574386,7.0
848,14.213182674199622,7.0
849,14.229943502824858,3.0
850,14.246704331450093,4.0
851,14.263465160075329,5.0
852,14.280225988700565,6.0
853,14.296986817325799,4.0
854,14.313747645951034,7.0
855,14.33050847457627,10.0
856,14.347269303201506,9.0
857,14.364030131826741,4.0
858,14.380790960451977,6.0
859,14.397551789077212,8.0
860,14.414312617702446,9.0
861,14.431073446327682,4.0
862,14.447834274952918,8.0
863,14.464595103578153,8.0
864,14.481355932203389,5.0
865,14.498116760828625,2.0
866,14.51487758945386,6.0
867,14.531638418079094,6.0
868,14.54839924670433,6.0
869,14.565160075329565,8.0
870,14.581920903954801,3.0
871,14.598681732580037,5.0
872,14.615442561205272,5.0
873,14.632203389830508,1.0
874,14.648964218455744,8.0
875,14.665725047080977,7.0
876,14.682485875706213,2.0
877,14.699246704331449,11.0
878,14.716007532956684,6.0
879,14.73276836158192,5.0
880,14.749529190207156,5.0
881,14.766290018832391,5.0
882,14.783050847457625,7.0
883,14.79981167608286,6.0
884,14.816572504708097,10.0
885,14.833333333333332,2.0
886,14.850094161958568,4.0
887,14.866854990583803,5.0
888,14.883615819209039,9.0
889,14.900376647834273,5.0
890,14.917137476459509,6.0
891,14.933898305084744,7.0
892,14.95065913370998,3.0
893,14.967419962335216,7.0
894,14.984180790960451,6.0
895,15.000941619585687,6.0
896,15.017702448210922,6.0
897,15.034463276836156,8.0
898,15.051224105461392,9.0
899,15.067984934086628,13.0
900,15.084745762711863,4.0
901,15.101506591337099,5.0
902,15.118267419962335,10.0
903,15.13502824858757,6.0
904,15.151789077212804,11.0
905,15.16854990583804,5.0
906,15.185310734463275,5.0
907,15.202071563088511,8.0
908,15.218832391713747,6.0
909,15.235593220338982,4.0
910,15.252354048964218,5.0
911,15.269114877589452,9.0
912,15.285875706214687,6.0
913,15.302636534839923,4.0
914,15.319397363465159,6.0
915,15.336158192090394,1.0
916,15.35291902071563,9.0
917,15.369679849340866,6.0
918,15.3864406779661,6.0
919,15.403201506591335,5.0
920,15.419962335216571,7.0
921,15.436723163841807,3.0
922,15.453483992467042,11.0
923,15.470244821092278,7.0
924,15.487005649717513,6.0
925,15.50376647834275,7.0
926,15.520527306967983,3.0
927,15.537288135593219,5.0
928,15.554048964218454,7.0
929,15.57080979284369,4.0
930,15.587570621468926,6.0
931,15.604331450094161,5.0
932,15.621092278719397,4.0
933,15.63785310734463,5.0
934,15.654613935969866,6.0
935,15.671374764595102,4.0
936,15.688135593220338,5.0
937,15.704896421845573,12.0
938,15.721657250470809,6.0
939,15.738418079096045,3.0
940,15.755178907721278,5.0
941,15.771939736346514,7.0
942,15.78870056497175,11.0
943,15.805461393596985,10.0
944,15.822222222222221,7.0
945,15.838983050847457,4.0
946,15.855743879472692,4.0
947,15.872504708097928,8.0
